1805,1022
1806,1022
1807,1022
1808,1022
1809,1022
1810,1022
1811,1023
1810,1023
1809,1023
1808,1023
1807,1023
1806,1023
1805,1023
1804,1023
1803,1024
1804,1024
1805,1024
1806,1024
1810,1024
1811,1024
1812,1024
1813,1025
1812,1025
1811,1025
1810,1025
1809,1025
1807,1025
1806,1025
1805,1025
1804,1025
1803,1025
1802,1025
1802,1026
1803,1026
1804,1026
1805,1026
1806,1026
1807,1026
1808,1026
1809,1026
1810,1026
1811,1026
1812,1026
1813,1026
1814,1026
1818,1026
1819,1026
1820,1026
1821,1027
1820,1027
1819,1027
1818,1027
1817,1027
1816,1027
1815,1027
1814,1027
1813,1027
1812,1027
1811,1027
1810,1027
1809,1027
1808,1027
1807,1027
1806,1027
1805,1027
1804,1027
1803,1027
1802,1027
1801,1027
1800,1028
1801,1028
1802,1028
1803,1028
1804,1028
1805,1028
1806,1028
1807,1028
1808,1028
1809,1028
1810,1028
1811,1028
1812,1028
1813,1028
1814,1028
1815,1028
1816,1028
1817,1028
1818,1028
1819,1028
1821,1028
1822,1028
1822,1029
1821,1029
1819,1029
1818,1029
1817,1029
1816,1029
1815,1029
1814,1029
1813,1029
1812,1029
1811,1029
1810,1029
1809,1029
1808,1029
1807,1029
1806,1029
1805,1029
1804,1029
1803,1029
1802,1029
1801,1029
1800,1029
1799,1029
1798,1030
1799,1030
1800,1030
1801,1030
1802,1030
1803,1030
1804,1030
1805,1030
1806,1030
1807,1030
1808,1030
1809,1030
1810,1030
1811,1030
1812,1030
1813,1030
1814,1030
1815,1030
1816,1030
1817,1030
1818,1030
1819,1030
1820,1030
1821,1030
1822,1030
1821,1031
1819,1031
1818,1031
1817,1031
1816,1031
1815,1031
1814,1031
1813,1031
1812,1031
1811,1031
1810,1031
1809,1031
1808,1031
1807,1031
1806,1031
1803,1031
1802,1031
1801,1031
1800,1031
1799,1031
1798,1031
1797,1031
1797,1032
1798,1032
1799,1032
1800,1032
1801,1032
1802,1032
1806,1032
1807,1032
1808,1032
1809,1032
1810,1032
1811,1032
